iter	PRAUC	Logloss
73	0.7223804939	0.2411298177
74	0.7231735269	0.2407330641
75	0.7253785941	0.2399520168
76	0.7263339563	0.2395673014
77	0.7273191545	0.2388285202
78	0.7282023202	0.2384658482
79	0.7296964603	0.237858386
80	0.7306647377	0.2373840034
81	0.7310271242	0.2371777456
82	0.7324610912	0.2366915627
83	0.7334143294	0.2362015723
84	0.7344059224	0.2356378275
85	0.7362820466	0.2347797811
86	0.7369612848	0.2345078093
87	0.7377378956	0.2340599926
88	0.7386351121	0.2337422432
89	0.7395312253	0.2332896452
90	0.740091721	0.2327640153
91	0.7413504312	0.2321538237
92	0.7424270377	0.2316802589
93	0.7433639565	0.2313233237
94	0.7440685268	0.2310558269
95	0.7450372397	0.2305768265
96	0.7461073906	0.2301677182
97	0.7468564622	0.2298909647
98	0.7473038724	0.2294373635
99	0.7485368532	0.2289710569
100	0.749406857	0.2285719787
101	0.7500667261	0.2283379567
102	0.7505148008	0.2279977344
103	0.7512622527	0.2275787748
104	0.7525123406	0.2268967082
105	0.7536804799	0.2263138306
106	0.7543587428	0.2260165404
107	0.7553489113	0.2256680352
108	0.7559758148	0.2252993084
109	0.7570579481	0.2249878159
110	0.7587860485	0.2244872818
111	0.7594995118	0.2240111106
112	0.7605057169	0.2236174342
113	0.7615717788	0.2231734039
114	0.7625013681	0.2227987574
115	0.7633481712	0.2223342777
116	0.7638856043	0.2221115744
117	0.7645926371	0.2217394525
118	0.7659204739	0.221025038
119	0.7668042191	0.2207237837
120	0.7675137688	0.2204073056
121	0.7682660054	0.2200183493
122	0.7691280231	0.2197448512
123	0.7697948507	0.2194587515
124	0.7710827806	0.2187084155
125	0.7718679367	0.2182133696
126	0.7736058741	0.2176551995
127	0.7742175374	0.2174288204
128	0.7748576423	0.2169948523
129	0.7757802659	0.2165441871
130	0.7763269587	0.2163073649
131	0.7776618362	0.2158172096
132	0.7784228968	0.2154266862
133	0.7792559955	0.2150585623
134	0.7799828249	0.2147261128
135	0.7804988516	0.2145233884
136	0.7813679186	0.2140934401
137	0.7818592149	0.2138482867
138	0.7828976167	0.2132366812
139	0.7834679208	0.2130635575
140	0.7841356423	0.212787844
141	0.7851056149	0.2123891591
142	0.785705855	0.2120542447
143	0.7865498795	0.2116547112
144	0.787441495	0.2113402174
145	0.7879258752	0.2108971859
146	0.7892437975	0.2105533174
147	0.790041669	0.2102380978
148	0.791359416	0.2098710386
149	0.7919308337	0.2096231401
150	0.7926110694	0.2092789304
151	0.7933598386	0.2089456699
152	0.7943998465	0.2083883995
153	0.7955605997	0.2080018854
154	0.7966145901	0.207564296
155	0.7975854579	0.2071969852
156	0.7988155925	0.2067400152
157	0.799475277	0.2064078621
158	0.8002864274	0.2059703745
159	0.8008170619	0.2056589361
160	0.8011235382	0.2053688582
161	0.8018035883	0.2050122701
162	0.8029063741	0.204621601
163	0.803802858	0.2043009254
164	0.8045064612	0.2039274762
165	0.8057037601	0.2035369797
166	0.8062525166	0.2028522355
167	0.807521414	0.2023747087
168	0.8082063003	0.2019926055
169	0.8087600159	0.2016839325
170	0.809792829	0.2010944759
171	0.8106829184	0.2004997993
172	0.8115835203	0.2000544034
173	0.8124180259	0.1996412478
174	0.8137049169	0.199116656
175	0.8145610175	0.1987988972
176	0.8151218653	0.1983907865
177	0.8158879936	0.1980184765
178	0.816743068	0.1975933465
179	0.8180588235	0.197023382
180	0.8189941483	0.1966427816
181	0.8200266992	0.1962284087
182	0.8205802856	0.1959290648
183	0.8211586128	0.1956281505
184	0.8222662999	0.1952256756
185	0.8234511507	0.1947522182
186	0.8238791057	0.1944718836
187	0.8249805716	0.1940503146
188	0.8259200309	0.1936708242
189	0.8270791463	0.1929888317
190	0.8278868584	0.1925829547
191	0.8287660467	0.1922114621
192	0.8295603833	0.1918248874
193	0.8299205239	0.1916576349
194	0.8302401988	0.1913909863
195	0.8309307502	0.1910961519
196	0.8322031506	0.1905903202
197	0.833002653	0.1901976291
198	0.8340903292	0.1897195686
199	0.8354566159	0.1890608866
200	0.8365531701	0.1884662636
201	0.8372220611	0.1881134774
202	0.8386904417	0.1875533489
203	0.8394791908	0.1869645036
204	0.8402453498	0.1865788312
205	0.8414053018	0.1859211012
206	0.8427208086	0.1854207387
207	0.8439717162	0.1849433085
208	0.8447987719	0.1844442437
209	0.8455962471	0.1840233323
210	0.8463945804	0.1836995589
211	0.8474072555	0.1832236944
212	0.8480484023	0.1828019861
213	0.8491143947	0.1824341809
214	0.850103659	0.1821337568
215	0.8511727328	0.181691815
216	0.8517849774	0.1812825021
217	0.8525585563	0.1808138859
218	0.8533228335	0.1804150657
219	0.8538567446	0.180041752
220	0.8543917782	0.179790414
221	0.8554132595	0.1792553479
222	0.8563026708	0.1786674056
223	0.8570673946	0.1783245861
224	0.8581091711	0.1776845522
225	0.8590802144	0.1773629822
226	0.8594737402	0.1771504973
227	0.8602079399	0.1767477187
228	0.8616243464	0.1763048672
229	0.8621467676	0.1760164724
230	0.8628130615	0.1757198537
231	0.8632693398	0.1754809362
232	0.8636201666	0.175259746
233	0.8643253147	0.1748950936
234	0.8651551836	0.1745320383
235	0.8660022209	0.1741856289
236	0.8666912209	0.173904136
237	0.8675233838	0.1735311188
238	0.8680598941	0.1732645611
239	0.8691126744	0.1726604452
240	0.870131461	0.172094889
241	0.8709361424	0.171709386
242	0.8716972123	0.1714307123
243	0.872735171	0.1708081294
244	0.8736204719	0.1703670989
245	0.8745729058	0.1699148004
246	0.8749755265	0.1695804668
247	0.8752740587	0.1692499448
248	0.8761298716	0.1688855959
249	0.876658232	0.1685369228
250	0.8772786497	0.1682134653
