ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772371048859,idle,667179,119363,4691860,1705452,1318029,176699,470954,4,169383,599902
1772371049706,idle,3178,1255,4651512,0,0,991,8800,0,902,0
1772371050599,idle,1123,12,4639084,0,0,1235,15264,0,1151,0
1772371051408,cold_start,7394,936,4553476,0,0,5450,24801,0,5499,0
1772371052167,cold_start,3501,484,4300688,0,0,1639,33973,0,1329,0
1772371052925,cold_start,650,8,4418848,0,0,124,210,0,43,0
1772371053658,cold_start,203,0,4420204,0,0,176,1007,0,166,0
1772371054396,cold_start,1981,20,4412700,0,0,1506,2562,0,1493,0
1772371055130,cold_start,23,0,4402140,0,0,5,225,0,9,0
1772371055869,cold_start,98,0,4409868,0,0,41,40,0,38,0
1772371056613,cold_start,890,655,4384680,0,0,214,242,0,221,0
1772371057359,cold_start,737,389,4410796,0,0,90,230,0,80,0
1772371058130,cold_start,168,3,4410720,0,0,344,342,0,350,0
1772371058874,cold_start,281,61,4387948,0,0,337,1051,0,281,0
1772371059635,cold_start,40,0,4393588,0,0,22,22,0,21,0
1772371060392,cold_start,60,0,4384260,0,0,34,26,0,34,0
1772371061153,cold_start,21,0,4366852,0,0,10,18,0,11,0
1772371061915,cold_start,325,0,4390348,0,0,66,71,0,68,0
1772371062760,cold_start,36,0,4389184,0,0,9,9,0,7,0
1772371063544,cold_start,221,0,4309144,0,0,544,1240,0,824,0
1772371064314,cold_start,3950,902,4179020,0,0,964,3767,0,813,0
1772371065096,cold_start,5319,108,3964744,0,0,1764,6366,0,2785,0
1772371065877,cold_start,9186,432,3733800,0,0,5460,10782,0,3987,0
1772371066612,cold_start,944,3,3529232,0,0,1503,2809,0,1806,0
1772371067364,cold_start,4739,966,3784012,0,0,1692,5247,0,1260,0
1772371068146,cold_start,467,357,3732768,0,0,70,124,0,58,0
1772371068895,cold_start,283,0,3699808,0,0,54,55,0,52,0
1772371069681,cold_start,12,0,3693576,0,0,3,0,0,1,0
1772371070570,cold_start,39,0,3702612,0,0,11,14,0,24,0
1772371071398,cold_start,164,25,3696472,0,0,41,46,0,27,0
1772371072204,cold_start,109,0,3668528,0,0,32,28,0,28,0
1772371073037,cold_start,8052,1130,3692556,0,0,171,1761,0,171,0
1772371073925,cold_start,115,28,3686028,0,0,17,34,0,15,0
1772371074782,cold_start,35,0,3667500,0,0,23,6,0,18,0
1772371075564,cold_start,45,0,3650740,0,0,11,147,0,9,0
1772371076338,cold_start,1570,285,3447380,0,0,528,6151,0,277,0
1772371077173,cold_start,8372,1850,3287700,0,0,444,5877,0,245,0
1772371077830,cold_start,205,37,3249024,0,0,27,88,0,21,0
1772371078570,cold_start,149,0,2879924,0,0,244,235,0,149,22
1772371079375,cold_start,11801,3422,3011256,0,0,663,750,0,536,0
1772371080209,cold_start,63,20,2957872,0,0,14,4,0,2,0
1772371081038,cold_start,0,0,2954820,0,0,0,0,0,0,0
1772371081895,cold_start,67,58,2949012,0,0,3,1,0,0,0
1772371082710,cold_start,0,0,2953084,0,0,1,0,0,0,0
1772371083520,cold_start,47,42,2945020,0,0,19,410,0,4,0
1772371084374,cold_start,104,66,2938008,0,0,0,6,0,5,0
1772371085227,cold_start,642,45,2935848,0,0,203,599,0,196,0
1772371086077,cold_start,13,0,2928304,0,0,6,6,0,6,0
1772371086936,cold_start,4426,950,2987212,0,0,549,786,0,545,79
1772371087753,cold_start,48,8,2881680,0,0,10,11,0,6,0
1772371088618,cold_start,725,22,2872844,0,0,185,172,0,162,1439
1772371089480,cold_start,61044,20776,2835908,0,0,499,2104,0,436,5979
1772371090305,cold_start,27612,4917,2751528,0,0,78,1535,0,36,740
1772371091138,cold_start,31457,7373,2593768,0,0,118,586,0,122,1
