ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772284486266,idle,74138,3624,4078816,940200,491220,43583,59158,2,36029,382319
1772284486947,idle,2104,186,4050980,19392,10932,2449,5300,0,2278,12025
1772284487651,idle,1685,97,4112316,110560,58776,1729,5389,0,1695,20545
1772284488350,cold_start,2904,142,4169364,89760,53892,2052,3260,0,2180,22908
1772284489035,cold_start,15246,442,3974884,35328,27957,10863,24994,0,11082,13484
1772284489869,cold_start,23689,721,3924192,23712,18005,13718,28529,0,12768,7177
1772284490629,cold_start,3714,382,3903280,16736,13410,575,2457,0,1043,7475
1772284491344,cold_start,2982,276,3871836,16512,11204,1168,1881,0,557,16319
1772284492071,cold_start,8348,459,3923364,0,0,4475,7569,0,4822,1947
1772284492867,cold_start,13599,1612,3911272,0,0,4439,6343,0,5711,0
1772284493713,cold_start,17343,1282,3573820,0,0,4839,6931,0,2988,0
1772284494553,cold_start,6772,755,3362372,0,0,4614,5690,0,4509,0
1772284495393,cold_start,10752,1020,3327536,0,0,5730,11611,0,7540,0
1772284496208,cold_start,20891,3850,3422936,0,0,12025,13826,0,10112,0
1772284497183,cold_start,114,5,3392464,0,0,107,256,0,977,0
1772284498094,cold_start,10653,526,3418300,0,0,3324,6654,0,2475,0
1772284498861,cold_start,3150,44,3377452,0,0,1155,2169,0,1144,0
1772284499721,cold_start,14238,841,3419784,0,0,6161,6889,0,6081,19
1772284500539,cold_start,2847,238,3473788,24058,20658,2535,2582,1,2542,11678
1772284501331,cold_start,2814,847,3399160,28909,24528,1135,2401,0,1054,10383
1772284502131,cold_start,10603,2819,3231900,16864,13636,2007,10061,0,2038,5993
1772284502937,cold_start,2163,2,3181540,24891,17829,997,1209,0,833,6070
1772284503693,cold_start,1679,402,3138456,24640,21889,1377,4927,0,1563,11575
1772284504445,cold_start,9028,1168,3276352,44896,34975,7854,11253,0,7648,13075
1772284505117,cold_start,4212,335,3292628,45076,27248,1257,11758,0,1767,4071
1772284505806,cold_start,4627,1065,3283728,46720,38275,2376,4201,0,2247,20782
1772284506614,cold_start,6959,1004,3279680,126347,50578,4371,9815,0,3756,11545
1772284507390,cold_start,5450,1938,3297012,33760,12412,1503,12678,0,1356,2005
1772284508187,cold_start,7346,3774,3295100,27520,12296,1415,10579,0,1202,366
1772284508969,cold_start,14412,9969,3315168,47520,18381,1656,26760,0,1410,1730
1772284509733,cold_start,2587,90,3340256,143296,70415,1617,3035,0,1601,0
1772284510494,cold_start,2319,796,3352296,227968,70543,1430,7230,0,1460,9168
1772284511240,cold_start,7288,1124,3406512,114784,64121,3866,11008,0,4420,21474
1772284511962,cold_start,5283,794,3426896,16640,14056,1657,2931,0,1009,4202
1772284512827,cold_start,1841,1222,3409064,0,0,79,2358,0,64,0
1772284513776,cold_start,40905,17774,3433928,0,0,3853,34615,0,3896,0
1772284514739,cold_start,19784,864,3250840,0,0,2061,12037,0,1879,0
1772284515522,cold_start,13133,343,3025396,0,0,1809,9316,0,1256,0
1772284516190,cold_start,1001,517,2978340,0,0,206,3866,0,224,0
1772284516996,cold_start,10445,1945,3164672,0,0,5881,11401,0,5778,0
1772284517868,cold_start,2785,631,3154116,0,0,418,4540,0,454,0
1772284518596,cold_start,2060,666,3089460,0,0,1150,9672,0,827,0
1772284519506,cold_start,3514,584,3069560,0,0,821,11061,0,801,0
1772284520394,cold_start,6543,2832,3098476,24077,19407,328,2875,1,265,10078
1772284521151,cold_start,543,372,3129896,63115,38007,24,1311,0,87,13099
1772284521938,cold_start,947,13,3195180,30482,29610,401,393,0,327,18969
1772284522733,cold_start,1181,585,3239532,49568,39079,169,1244,0,177,14995
1772284523541,cold_start,394,133,3276852,36884,23577,142,994,0,111,11915
