ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772367447394,idle,18566,133,3616464,110904,82998,21724,21398,1,15436,107333
1772367448337,idle,4677,901,3567172,26685,17448,473,770,0,181,12049
1772367449383,idle,583,0,3707028,48206,41968,631,984,0,613,25887
1772367450273,cold_start,1233,0,3714456,113641,88894,1547,1544,0,1621,19875
1772367451103,cold_start,1796,0,3616468,59666,42936,2083,3390,0,1693,17560
1772367452008,cold_start,2742,2,3588840,33856,28703,3461,3811,0,3286,15462
1772367452766,cold_start,726,0,3632420,39680,33182,322,389,0,193,21674
1772367453399,cold_start,4987,11,3700196,52736,47277,1998,2043,0,2020,28884
1772367454022,cold_start,1506,4,3794100,129654,102935,3764,7157,0,3660,7659
1772367454651,cold_start,328,0,3780520,0,0,422,2315,0,425,12474
1772367455305,cold_start,70,3,3790080,0,0,38,726,0,13,11099
1772367455982,cold_start,188,0,3828108,0,0,356,2677,0,639,10693
1772367456648,cold_start,1239,5,3850692,0,0,1410,2425,0,1323,11718
1772367457356,cold_start,782,0,3882988,0,0,551,3022,0,394,12415
1772367458056,cold_start,1091,8,3919048,0,0,678,651,0,572,11612
1772367458759,cold_start,531,5,3919008,0,0,441,342,0,399,11824
1772367459453,cold_start,951,16,3952636,0,0,630,849,0,614,14299
1772367460161,cold_start,390,0,3990456,0,0,170,119,0,170,13423
1772367460842,cold_start,1166,16,4010160,0,0,906,1436,0,902,11229
1772367461532,cold_start,1235,4,4038800,0,0,995,3039,0,1268,9878
1772367462248,cold_start,6357,32,4033952,0,0,4001,4661,0,4468,11700
1772367462970,cold_start,13749,6,3932900,0,0,5393,6771,0,4572,1884
1772367463732,cold_start,3489,23,3748724,9144,7768,3799,9326,1,3235,7462
1772367464487,cold_start,937,3,3538912,65252,48631,372,549,0,243,11392
1772367465322,cold_start,18362,4509,3285212,75261,86807,1171,1381,0,3230,13001
1772367466175,cold_start,7789,13,3011292,158370,124414,6546,13696,0,4839,0
1772367466982,cold_start,9233,65,3167444,0,0,6304,9039,0,6846,0
1772367467836,cold_start,10706,50,3121192,0,0,3994,6670,0,2750,0
1772367468730,cold_start,8881,37,3211532,0,0,4160,5218,0,4334,0
1772367469467,cold_start,7876,50,3164340,0,0,5148,6632,0,5320,0
