ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772369909513,idle,736080,158507,4682120,1837716,1378550,188874,542834,4,181795,612514
1772369910424,idle,20,0,4656216,0,0,13,240,0,30,0
1772369911278,idle,576,76,4593832,0,0,463,4671,0,437,0
1772369912153,cold_start,3694,381,4469748,0,0,2551,13871,0,2898,0
1772369913050,cold_start,10017,1209,4079832,0,0,1639,19316,0,1089,0
1772369913876,cold_start,8805,1175,3871720,0,0,981,5772,0,644,0
1772369914660,cold_start,228,9,3889808,0,0,86,67,0,80,0
1772369915483,cold_start,1710,52,4185288,0,0,1183,1867,0,1167,0
1772369916383,cold_start,48,0,4210588,0,0,8,6,0,12,0
1772369917230,cold_start,97,0,4153744,0,0,24,176,0,11,0
1772369918149,cold_start,20,0,4176380,0,0,20,7,0,5,0
1772369919007,cold_start,35,0,4170308,0,0,3,13,0,2,0
1772369919945,cold_start,5,0,4188204,0,0,1,1,0,4,0
1772369920840,cold_start,598,300,4235596,0,0,90,380,0,84,0
1772369921748,cold_start,413,310,4243976,0,0,32,90,0,40,0
1772369922671,cold_start,652,290,4279892,0,0,222,416,0,218,0
1772369923572,cold_start,110,0,4271572,0,0,133,327,0,287,0
1772369924451,cold_start,3390,37,4091040,0,0,2506,13748,0,2734,0
1772369925167,cold_start,10324,447,3737152,0,0,3038,18507,0,2592,0
1772369925778,cold_start,2075,32,3714468,0,0,1116,1370,0,1093,0
1772369926445,cold_start,86,2,3894792,0,0,91,49,0,56,0
1772369927145,cold_start,396,27,3830032,0,0,155,343,0,73,0
1772369927805,cold_start,3313,0,3717616,0,0,120,1719,0,95,0
1772369928466,cold_start,107847,185,3638524,0,0,189,5108,0,17,0
1772369929153,cold_start,49,0,3599220,0,0,10,128,0,8,0
1772369929869,cold_start,26,0,3587940,0,0,21,22,0,20,0
1772369930810,cold_start,42,0,3609448,0,0,2,2,0,3,0
1772369931723,cold_start,228,0,3578980,0,0,47,47,0,46,0
1772369932719,cold_start,0,0,3574532,0,0,11,11,0,12,0
