ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772373155575,idle,81179,17573,4107732,860102,458514,43610,53921,2,36322,410876
1772373156281,idle,3809,1233,4178104,40544,26214,737,1568,0,257,22352
1772373157006,idle,65,0,4234704,65504,33628,80,371,0,69,17839
1772373157721,cold_start,5102,2157,4178048,9728,7077,2415,5657,0,2252,10079
1772373158472,cold_start,29620,634,4082632,61056,37529,20563,33990,0,20556,12123
1772373159211,cold_start,7516,1312,4001456,62880,40722,3053,13302,0,2853,12174
1772373159981,cold_start,6253,894,3815436,34528,22641,3333,8163,0,3510,7158
1772373160634,cold_start,8152,964,3649944,18976,15039,5031,8905,0,4260,6508
1772373161377,cold_start,7480,1218,3776180,17920,12476,4287,10024,0,4117,5414
1772373162151,cold_start,16781,6176,3807192,15712,13203,2756,9967,0,2707,5128
1772373162993,cold_start,3813,470,3797584,0,0,833,1598,0,1350,0
1772373163876,cold_start,25757,6209,3807488,0,0,8329,12780,0,8837,0
1772373164662,cold_start,15358,1551,3779452,0,0,2434,3247,0,2370,0
1772373165534,cold_start,16202,394,3748868,0,0,7337,9568,0,6287,0
1772373166397,cold_start,5539,331,3742036,0,0,1302,1572,0,2886,0
1772373167293,cold_start,18923,704,3718344,0,0,12086,15424,0,10753,0
1772373168196,cold_start,11230,417,3717596,0,0,3313,7112,0,2988,0
1772373169095,cold_start,9299,982,3727052,0,0,3391,5867,0,3360,0
1772373169972,cold_start,22923,4003,3614812,0,0,2697,19480,0,3125,0
1772373170752,cold_start,14486,5073,3454480,0,0,3210,7188,0,2283,12
1772373171574,cold_start,4916,1244,3272628,27657,24158,519,597,1,383,10752
1772373172392,cold_start,5892,147,3074248,23296,20795,1403,4830,0,1157,10525
1772373173166,cold_start,4095,54,2922260,15578,11752,465,2098,0,247,2418
1772373173785,cold_start,37602,3457,3051308,9248,5955,3845,11567,0,3440,2189
1772373174429,cold_start,3197,231,3029168,26272,19287,705,3424,0,644,7235
1772373175127,cold_start,4027,267,3057312,20491,17269,3387,5058,0,3353,5427
1772373175888,cold_start,8443,283,3038644,18720,14031,3561,5953,0,3993,6511
1772373176643,cold_start,8532,118,3125116,34368,31266,3122,6803,0,2628,17042
1772373177430,cold_start,6303,33,3175484,73437,36423,3512,5224,0,3673,5868
1772373178166,cold_start,2152,335,3199484,42304,22207,280,436,0,85,9045
1772373178976,cold_start,12539,374,3161544,74336,34749,8953,30806,0,8871,8443
1772373179727,cold_start,3665,286,3171020,105807,61675,1706,4731,0,1674,3794
1772373180578,cold_start,3701,562,3070692,0,0,2382,4781,0,3445,0
1772373181407,cold_start,14617,2523,3088888,93449,44232,2939,11890,1,2551,2010
1772373182156,cold_start,13237,838,3105356,47733,26001,6231,7326,0,6092,18395
1772373182869,cold_start,6924,761,3082420,75610,18136,1390,3682,0,626,12947
1772373183622,cold_start,813,68,2897280,34144,5045,1160,6308,0,991,3
1772373184440,cold_start,5329,702,2722956,100192,35099,532,7504,0,321,1508
1772373185140,cold_start,56571,1043,2808720,81020,26336,3072,24337,0,3155,2435
1772373185805,cold_start,28310,67,2826380,56032,23303,4558,9866,0,4306,3375
1772373186471,cold_start,7659,242,2890600,52000,23488,552,14091,0,490,10135
1772373187093,cold_start,3416,679,2919460,36224,25792,309,21801,0,215,11257
1772373187754,cold_start,868,270,2917568,59744,36313,645,7220,0,809,8738
1772373188392,cold_start,497,141,2924952,28576,20220,213,3244,0,146,8792
1772373189094,cold_start,2337,511,2944412,35200,29394,591,4935,0,573,12605
1772373189826,cold_start,14714,414,2796584,68704,46160,1385,14186,0,1302,13613
1772373190597,cold_start,29025,203,3071112,59808,43516,1914,31510,0,2105,18091
1772373191408,cold_start,7992,341,2940624,6336,5640,1260,12713,0,889,457
1772373192174,cold_start,4041,94,2942192,0,0,2585,10067,0,4578,0
1772373192960,cold_start,3948,519,3036052,0,0,3017,5168,0,836,15285
1772373193691,cold_start,910,167,3074800,0,0,85,1253,0,74,19442
1772373194420,cold_start,235,8,3102176,0,0,174,891,0,166,18264
1772373195160,cold_start,3124,893,3061260,0,0,589,3874,0,695,0
1772373195877,cold_start,3672,369,2945816,0,0,692,3966,0,424,0
1772373196690,cold_start,3226,635,2503148,0,0,744,4837,0,1069,13584
1772373197513,cold_start,73833,34932,2461500,0,0,1011,3295,0,525,19958
1772373198250,cold_start,48420,21464,2317120,0,0,2460,11385,0,2407,15344
1772373199083,cold_start,27368,19012,2795052,0,0,241,1883,0,104,0
1772373199934,cold_start,1372,430,2840136,0,0,460,3969,0,419,0
1772373200768,cold_start,2678,429,2816512,0,0,412,1398,0,413,0
1772373201669,cold_start,2882,1719,2867364,0,0,219,848,0,307,0
1772373202523,cold_start,3571,1360,2848244,0,0,576,1809,0,537,0
1772373203362,cold_start,6350,2597,2858492,0,0,371,3213,0,266,0
1772373204264,cold_start,1133,239,2852980,0,0,65,151,0,74,1555
1772373205105,cold_start,1158,232,2906928,0,0,424,2238,0,476,18605
1772373205910,cold_start,91,3,2883188,0,0,57,67,0,76,8283
1772373206819,cold_start,3949,1614,2839832,0,0,764,2434,0,738,0
1772373207690,cold_start,416,82,2749996,0,0,326,349,0,211,898
1772373208525,cold_start,75207,17916,2517692,6217,4271,1186,3991,56,944,19777
1772373209374,cold_start,76026,27893,2457548,682,522,795,3829,0,814,16421
1772373210038,cold_start,12912,8014,2457508,0,0,29,185,0,47,7061
1772373210950,cold_start,6852,5862,2547548,0,0,74,131,0,124,0
1772373211781,cold_start,3384,1322,2505760,0,0,185,2060,0,156,0
1772373212600,cold_start,14525,5027,2478684,0,0,407,8943,0,121,1844
1772373213480,cold_start,16705,12052,2458572,0,0,282,1436,0,218,885
1772373214335,cold_start,704,158,2452940,0,0,116,183,0,108,181
1772373215232,cold_start,734,461,2442512,0,0,9,233,0,0,912
1772373216167,cold_start,5177,4410,2440252,0,0,16,723,0,46,0
1772373217115,cold_start,723,25,2489096,0,0,70,154,0,37,13326
1772373217894,cold_start,160,110,2533660,0,0,72,536,0,454,21703
1772373218721,cold_start,1623,272,2551024,0,0,668,1488,0,282,4892
1772373219513,cold_start,666,329,2530700,0,0,15,22,0,15,0
1772373220294,cold_start,31579,14474,2398504,3046,2868,528,4772,29,299,25153
1772373221140,cold_start,92075,49934,2376076,394,371,636,5423,4,589,23307
1772373221878,cold_start,30735,16463,2295924,0,0,264,445,0,110,9680
1772373222705,cold_start,146610,52188,2095536,23693,18323,1042,5216,238,897,29173
1772373223496,cold_start,26511,11508,2034712,0,0,598,4352,0,292,2453
1772373224247,cold_start,5967,1609,2072392,0,0,101,2254,0,92,0
1772373225023,cold_start,33,3,2068672,0,0,42,52,0,39,0
1772373225881,cold_start,45,0,2066544,0,0,12,9,0,8,0
1772373226797,cold_start,93,0,2042796,0,0,26,146,0,30,0
1772373227690,cold_start,74,19,2052504,0,0,45,6,0,28,0
1772373228551,cold_start,564,168,2042316,0,0,40,70,0,39,0
1772373229461,cold_start,235,0,2076992,0,0,11,11,0,32,11349
1772373230306,cold_start,469,226,2095220,0,0,52,564,0,29,0
1772373231074,cold_start,1818,634,2106596,0,0,161,341,0,160,0
1772373231874,cold_start,1030,153,2104192,0,0,2658,9909,0,4509,42
1772373232538,cold_start,207320,54424,2073116,6780,3570,10167,53172,67,8003,44622
1772373233368,cold_start,42638,25190,2067712,688,629,414,504,0,154,4308
1772373234081,cold_start,97,0,2160316,0,0,156,39,0,36,0
1772373234823,cold_start,75,0,2208448,0,0,42,28,0,35,0
1772373235527,cold_start,95,11,2204856,0,0,39,20,0,39,0
1772373236264,cold_start,8,0,2188212,0,0,7,27,0,3,0
1772373237022,cold_start,3,0,2209668,0,0,1,2,0,0,0
1772373237768,cold_start,12,0,2196200,0,0,7,5,0,5,0
1772373238546,cold_start,305,42,2208908,0,0,24,114,0,23,0
1772373239279,cold_start,87,0,2199548,0,0,351,405,0,352,0
1772373240062,cold_start,99,3,2204188,0,0,48,32,0,38,0
1772373240822,cold_start,0,0,2183676,0,0,0,0,0,0,0
1772373241599,cold_start,8,0,2202484,0,0,4,9,0,2,0
1772373242325,cold_start,76,0,2200472,0,0,50,46,0,57,0
1772373243094,cold_start,25,0,2186272,0,0,20,15,0,8,0
1772373243929,cold_start,33805,55,2181740,0,0,5478,6680,0,6117,2135
1772373244578,cold_start,84110,346,2091580,0,0,20488,24464,0,20431,14858
1772373245345,cold_start,10861,31,1982616,0,0,1383,1025,0,156,1131
1772373246136,cold_start,20754,6222,1874008,0,0,547,606,0,333,3272
1772373246946,cold_start,21666,10223,1780024,0,0,185,340,0,125,2932
1772373247772,cold_start,36996,20356,1853224,485,432,1105,5000,5,1161,10924
1772373248516,cold_start,16385,10114,1824468,0,0,1086,3215,0,788,0
1772373249429,cold_start,21174,14571,1720056,0,0,392,1735,0,360,16716
1772373250341,cold_start,67155,53915,1784788,746,716,269,1028,10,205,13009
1772373251193,cold_start,59505,38136,1846660,0,0,237,4691,3,55,11027
1772373252050,cold_start,98320,86997,1909084,291,203,609,10537,0,117,19557
1772373252921,cold_start,5,0,1899356,0,0,356,11561,0,3,0
1772373253774,cold_start,20,3,1958720,0,0,10,3,0,3,0
