ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772285648894,idle,44904,3212,3769756,530846,301916,34659,44502,2,27048,284444
1772285649581,idle,722,0,3732124,82261,29955,1522,7702,0,1196,9833
1772285650271,idle,200,0,3745992,30432,9061,462,1188,0,452,9280
1772285650936,idle,350,2,3784072,92512,47938,650,1844,0,634,21446
1772285651633,cold_start,6583,6,3725972,42048,31236,5433,10895,0,5258,12970
1772285652398,cold_start,2660,7,3477464,20430,16848,4312,10648,0,4644,5240
1772285653253,cold_start,1988,9,3338000,18944,13414,1728,3237,0,1298,16183
1772285653974,cold_start,2249,9,3337784,50144,19740,1659,1856,0,1040,15471
1772285654650,cold_start,1682,4,3651188,49088,21897,1364,3390,0,1879,11391
1772285655290,cold_start,1252,6,3657624,64672,30320,1300,2363,0,804,12166
1772285655986,cold_start,1558,46,3683712,15168,9493,945,2369,0,1456,13132
1772285656611,cold_start,13254,34,3757364,97280,52218,4671,6763,0,4232,22311
1772285657281,cold_start,4099,418,3821008,54080,36521,2355,5243,0,2552,19770
1772285657904,cold_start,2187,81,3894740,37152,30278,2794,6841,0,2478,25162
1772285658568,cold_start,902,184,3915420,34592,28963,533,3193,0,1010,14601
1772285659341,cold_start,22241,2421,3774664,13056,9491,2960,7698,0,2360,2634
1772285660155,cold_start,4180,135,3692320,0,0,1680,2855,0,1557,0
1772285661021,cold_start,7325,251,3670848,0,0,5294,6017,0,5616,0
1772285661819,cold_start,9854,499,3659292,0,0,2546,3082,0,2933,0
1772285662669,cold_start,5063,536,3625304,0,0,3564,3869,0,3633,0
1772285663482,cold_start,4140,149,3600316,0,0,1603,2748,0,3167,0
1772285664307,cold_start,12474,1073,3413716,0,0,14526,47109,0,11937,0
1772285665097,cold_start,10197,332,3440528,0,0,8806,11682,0,9014,0
1772285665751,cold_start,2748,147,3453012,0,0,1663,1855,0,1739,0
1772285666432,cold_start,3973,204,3431484,0,0,1155,4059,0,834,0
1772285667167,cold_start,12288,118,3402232,0,0,7894,13490,0,7831,0
1772285667792,cold_start,2203,6,3368732,0,0,1778,1779,0,1762,0
1772285668449,cold_start,1676,9,3468256,23484,16835,1184,1198,1,1184,5802
1772285669106,cold_start,731,115,3497000,40394,19650,532,2289,0,720,6610
1772285669786,cold_start,3002,57,3540152,38321,14280,1807,2097,0,1804,9826
1772285670459,cold_start,3851,130,3589724,22144,13779,1137,5983,0,3396,10369
1772285671185,cold_start,5658,507,3587344,77114,31851,5502,9468,0,3312,1616
1772285671850,cold_start,8866,616,3587604,32192,16292,3223,4726,0,2829,2432
1772285672530,cold_start,4630,44,3601176,60096,30720,3297,3728,0,3829,8537
1772285673162,cold_start,5211,97,3647916,65370,44323,863,1236,0,333,10110
1772285673800,cold_start,6668,224,3703268,33184,20609,4009,11183,0,3945,26147
1772285674482,cold_start,6969,873,3779660,26496,19052,2239,5335,0,2217,25639
1772285675236,cold_start,1899,282,3810672,15552,12478,759,1580,0,1656,6649
1772285675974,cold_start,10006,3309,3784600,28544,19964,2420,7104,0,2152,8864
1772285676696,cold_start,9863,1403,3595052,17920,13717,1669,6184,0,809,7128
1772285677523,cold_start,2942,223,3535060,24576,16626,1857,8136,0,2735,9081
1772285678305,cold_start,6919,51,3399856,23744,18221,2869,8889,0,1914,11009
1772285679003,cold_start,10242,2050,3296336,23424,19018,3886,12011,0,4032,11634
1772285679680,cold_start,11356,184,3265996,31296,28942,2926,5956,0,2483,15660
1772285680449,cold_start,1639,244,3314568,130176,73827,18,75,0,15,10330
1772285681215,cold_start,532,353,3333676,26688,15381,37,78,0,41,2555
1772285682106,cold_start,3587,694,3458088,0,0,2084,7126,0,2259,0
1772285682735,cold_start,50334,156,3564432,0,0,6499,27278,0,6467,0
1772285683493,cold_start,14848,100,3457232,0,0,2011,8143,0,1551,0
1772285684275,cold_start,15764,186,3704492,0,0,883,22079,0,844,0
1772285685020,cold_start,12071,115,3580816,0,0,1446,5822,0,1368,0
1772285685821,cold_start,2320,173,3633432,0,0,626,4723,0,567,0
1772285686528,cold_start,1191,145,3670024,0,0,186,682,0,95,0
1772285687291,cold_start,31,0,3657456,0,0,56,6707,0,108,0
1772285688073,cold_start,2361,457,3695128,6741,5380,734,1961,1,664,4010
1772285688830,cold_start,5780,1451,3609168,34508,28599,1941,7133,0,1799,12271
1772285689632,cold_start,2533,542,3461100,40542,27769,669,3062,0,605,11190
1772285690395,cold_start,5222,355,3231828,46605,27144,1295,9909,0,1107,5227
1772285691188,cold_start,7772,2057,3036460,55696,41636,208,2258,0,172,15302
1772285691952,cold_start,1000,181,3346804,43328,29096,262,1284,0,261,7543
1772285692822,cold_start,1596,485,3332708,28576,17917,433,1578,0,369,5775
1772285693535,cold_start,210,0,3378424,33792,18956,192,523,0,251,4427
1772285694238,cold_start,2608,779,3384624,90048,25526,722,3227,0,730,9283
1772285695022,cold_start,4477,1410,3457612,16412,12737,507,2741,0,455,8315
1772285695790,cold_start,5293,1737,3510588,29408,25096,1054,2639,0,1038,13811
1772285696585,cold_start,1372,552,3586728,34752,27036,435,563,0,396,11806
1772285697401,cold_start,716,32,3573624,39168,21284,765,1078,0,792,1154
1772285698170,cold_start,845,8,3616556,55136,29317,77,163,0,152,19591
1772285698895,cold_start,608,109,3599556,32032,19839,537,1434,0,581,10411
1772285699711,cold_start,531,166,3633660,87616,50156,91,360,0,87,11221
1772285700521,cold_start,692,37,3598508,94912,42852,392,4638,0,530,11132
1772285701289,cold_start,8496,547,3437064,65216,36204,2882,28190,0,3972,5458
1772285702198,cold_start,24828,877,3151240,0,0,7464,23684,0,6068,0
1772285702981,cold_start,11090,78,2925020,0,0,917,12094,0,925,0
1772285703689,cold_start,2537,371,2650696,0,0,778,4612,0,789,0
1772285704412,cold_start,1092,333,2836780,0,0,697,2870,0,296,0
1772285705065,cold_start,931,326,2858188,0,0,83,1275,0,60,0
1772285705769,cold_start,1582,305,2821120,0,0,624,2264,0,613,0
1772285706580,cold_start,115,0,2795448,0,0,27,31,0,24,0
1772285707448,cold_start,10688,2325,2791972,0,0,3972,5919,0,4734,0
1772285708258,cold_start,5916,1177,2807180,0,0,1050,5108,0,231,0
1772285709113,cold_start,277,5,2805520,0,0,95,479,0,134,0
1772285709922,cold_start,2520,511,2770128,0,0,123,2501,0,32,0
1772285710832,cold_start,616,28,2791640,0,0,178,240,0,224,1690
1772285711630,cold_start,901,118,2838224,0,0,681,1296,0,640,17215
1772285712372,cold_start,219,0,2813984,0,0,232,486,0,212,20021
1772285713125,cold_start,370,94,2799244,0,0,288,3039,0,261,10574
1772285713845,cold_start,1170,81,2441364,0,0,508,4518,0,383,0
1772285714732,cold_start,48392,12549,2149404,14469,12595,212,972,193,202,14028
1772285715562,cold_start,115489,51009,2061252,7680,5315,2053,11963,18,1795,23523
1772285716341,cold_start,36128,13615,2277516,0,0,626,7619,0,365,1093
1772285717136,cold_start,8963,263,2346612,0,0,3862,10530,0,3750,0
1772285717803,cold_start,4438,386,2262412,0,0,951,3292,0,816,890
1772285718462,cold_start,28370,18391,2163276,629,326,115,2873,168,16,13071
1772285719230,cold_start,61942,14642,2053368,20976,10236,71,275,0,56,0
1772285719901,cold_start,385,123,2295316,0,0,119,1162,0,126,0
1772285720744,cold_start,1684,852,2287892,0,0,242,1242,0,255,0
1772285721659,cold_start,3140,1270,2286292,0,0,79,512,0,50,0
1772285722493,cold_start,3918,2504,2297368,0,0,93,642,0,78,3789
1772285723197,cold_start,175,56,2335240,0,0,5,80,0,31,21819
1772285723988,cold_start,1244,729,2383068,0,0,58,461,0,37,20356
1772285724740,cold_start,1231,346,2398232,0,0,30,309,0,23,1305
1772285725604,cold_start,41560,1454,2286688,0,0,12822,46176,5,12576,5132
1772285726416,cold_start,90584,35511,2265016,3562,3191,1599,13231,34,1291,32644
1772285727212,cold_start,104052,32200,2122916,14504,3949,613,6034,70,480,24338
1772285728056,cold_start,91233,19216,2187384,1566,768,5915,29839,10,6377,23072
1772285729045,cold_start,114474,16194,2115584,0,0,6191,14117,0,5345,7095
1772285729804,cold_start,49618,7796,2335288,0,0,4559,11762,0,4793,3560
1772285730422,cold_start,41949,796,2300436,0,0,3963,16767,0,3435,2736
1772285731078,cold_start,31199,968,2285700,0,0,2075,14802,0,1954,4170
1772285731747,cold_start,2993,1076,2308068,0,0,114,945,0,66,0
