ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772287064274,idle,42137,5412,3474180,51646,30840,13787,9187,1,7151,88742
1772287065362,idle,1836,10,3470724,31673,22846,3225,3480,0,3976,17845
1772287066246,idle,2584,9,3549404,23358,13726,4396,5609,0,3030,20184
1772287067168,cold_start,2604,2,3478580,60960,36932,1594,1939,0,1419,19054
1772287067965,cold_start,2587,5,3496476,60989,21452,2394,2894,0,2571,7634
1772287068853,cold_start,385,0,3444256,41824,22364,651,469,0,184,20257
1772287069692,cold_start,471,0,3518436,128576,65584,1365,2483,0,1525,28963
1772287070427,cold_start,2363,3,3601088,44922,12998,567,1643,0,354,12890
1772287071147,cold_start,347,0,3640876,22624,7675,321,732,0,314,10902
1772287071825,cold_start,1323,2,3750068,51968,16798,2464,2744,0,2457,19848
1772287072563,cold_start,268,2,3803756,71136,24631,360,561,0,377,16432
1772287073317,cold_start,224,0,3882320,144960,62482,174,856,0,348,28079
1772287074065,cold_start,754,8,3955068,55744,34765,1015,4611,0,780,26439
1772287074811,cold_start,125,1,4006176,86656,42822,323,2942,0,601,16995
1772287075531,cold_start,859,1,4055760,17792,10232,1255,2880,0,836,15528
1772287076290,cold_start,1356,370,4137612,124288,60782,734,1805,0,723,22738
1772287077085,cold_start,238,2,4181872,0,0,429,882,0,1020,15970
1772287077890,cold_start,5342,34,4223476,0,0,3691,4911,0,3228,12844
1772287078646,cold_start,284,0,4271060,0,0,332,331,0,188,15218
1772287079427,cold_start,6259,211,4143028,0,0,10542,19608,0,11964,3815
1772287080179,cold_start,9963,149,4048000,0,0,12145,19467,0,10234,0
1772287080911,cold_start,7352,23,3827548,0,0,4015,8660,0,3837,6049
1772287081602,cold_start,5704,445,3732516,0,0,3149,7532,1,3274,7191
1772287082355,cold_start,9173,25,3614636,31750,25537,7385,11175,0,7295,10581
1772287083104,cold_start,2002,543,3789424,21866,17455,759,3447,0,529,6848
1772287083873,cold_start,2553,633,3817312,32856,26995,1052,1367,0,1040,10147
1772287084685,cold_start,1046,84,3859372,20064,18564,695,2892,0,953,8248
1772287085524,cold_start,3174,55,3869532,25440,17812,3588,4597,0,5394,5249
1772287086331,cold_start,8329,696,3831880,10944,6287,4225,5205,0,2950,1214
