ts,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772264028846,0,0,4721212,1536983,1182141,115556,0,0,110632,591904
1772264029557,0,0,4658980,0,0,4844,0,0,3449,0
1772264030307,0,0,4616660,0,0,4270,0,0,3361,0
1772264031006,0,0,4571004,0,0,4416,0,0,4478,0
1772264031643,0,0,4429184,0,0,19233,0,0,19338,0
1772264032309,0,0,4271036,0,0,12907,0,0,13085,0
1772264032946,0,0,4382144,0,0,866,0,0,308,0
1772264033609,0,0,4374604,0,0,2892,0,0,2874,0
1772264034260,0,0,4363524,0,0,2784,0,0,3701,0
1772264034861,0,0,4432408,918,765,3455,0,0,2601,649
1772264035465,0,0,4470120,26660,17735,1205,0,0,1614,5852
1772264036050,0,0,4495908,35096,19297,998,0,0,500,3939
1772264036674,0,0,4526412,43177,24667,6760,0,0,6739,5724
1772264037283,0,0,4550880,18784,15441,158,0,0,165,6937
1772264037908,0,0,4570796,33120,24861,638,0,0,583,8802
1772264038537,0,0,4614348,41981,25853,2001,0,0,1923,3322
1772264039348,0,0,4879352,81344,28583,697,0,0,597,61
1772264039973,0,0,4911124,109024,50794,123,0,0,162,8635
1772264040572,0,0,4943368,42240,25555,396,0,0,334,9783
1772264041202,0,0,4972472,40608,31919,1243,0,0,1785,12057
1772264041795,0,0,4994500,41632,30564,1491,0,0,1458,12768
1772264042496,0,0,5006056,32594,28138,878,0,0,867,2205
1772264043214,0,0,4983480,0,0,1484,0,0,1428,0
1772264043956,0,0,4981264,0,0,63,0,0,33,0
1772264044666,0,0,4978600,0,0,654,0,0,846,746
1772264045406,0,0,5002696,28590,18912,843,0,0,576,9352
1772264046096,0,0,5023928,26558,19191,46,0,0,224,7627
1772264046790,0,0,5041024,27136,22343,1279,0,0,817,10448
1772264047466,0,0,4992836,30162,27629,6835,0,0,7436,11452
1772264048092,0,0,4765872,17216,14847,3789,0,0,3031,8107
1772264048758,0,0,4534636,25184,23168,8965,0,0,8528,11125
1772264049490,0,0,4352544,35648,29528,1721,0,0,1774,13454
1772264050180,0,0,4091704,73926,36859,1393,0,0,985,3750
1772264050876,0,0,4365608,0,0,5114,0,0,5120,0
1772264051617,0,0,4364876,0,0,305,0,0,256,0
1772264052372,0,0,4359972,0,0,897,0,0,927,0
1772264053103,0,0,4358424,0,0,226,0,0,189,0
1772264053808,0,0,4335952,0,0,546,0,0,519,0
1772264054566,0,0,4336396,0,0,671,0,0,684,0
1772264055338,0,0,4328088,0,0,180,0,0,108,0
1772264056103,0,0,4314928,0,0,389,0,0,358,0
1772264056863,0,0,4313732,0,0,106,0,0,113,0
1772264057630,0,0,4314292,0,0,489,0,0,598,0
1772264058328,0,0,4264792,0,0,956,0,0,740,0
1772264059002,0,0,4243320,0,0,493,0,0,467,0
1772264059746,0,0,4242732,0,0,9,0,0,12,0
1772264060461,0,0,4241800,0,0,142,0,0,139,0
1772264061231,0,0,4221704,0,0,17,0,0,16,0
1772264061950,0,0,4220636,0,0,1,0,0,1,0
1772264062717,0,0,4221444,0,0,108,0,0,365,0
1772264063465,0,0,4246992,0,0,3133,0,0,2882,0
1772264064204,0,0,4259864,0,0,60,0,0,60,0
1772264064987,0,0,4307508,0,0,84,0,0,120,0
1772264065755,0,0,4304668,0,0,158,0,0,140,0
1772264066496,0,0,4304060,0,0,56,0,0,17,0
1772264067246,0,0,4303564,0,0,31,0,0,31,0
1772264068051,0,0,4300784,0,0,277,0,0,277,0
1772264068804,0,0,4299480,0,0,33,0,0,30,0
1772264069543,0,0,4299740,0,0,63,0,0,56,0
1772264070330,0,0,4300600,0,0,1,0,0,1,0
1772264071109,0,0,4301112,0,0,0,0,0,0,0
1772264071864,0,0,4318664,0,0,13,0,0,13,0
1772264072611,0,0,4281652,0,0,116,0,0,168,0
1772264073309,0,0,4188824,0,0,1947,0,0,1713,0
1772264074015,0,0,3993952,0,0,2539,0,0,1621,0
1772264074680,0,0,3866936,0,0,2572,0,0,1725,0
1772264075375,0,0,3835880,0,0,101,0,0,75,0
1772264076078,0,0,3911620,0,0,716,0,0,646,0
1772264076869,0,0,3785244,0,0,582,0,0,788,0
1772264077614,0,0,3778832,0,0,558,0,0,452,0
1772264078364,0,0,3720140,0,0,3073,0,0,2955,0
1772264079097,0,0,3658180,0,0,332,0,0,251,0
1772264079810,0,0,3668904,0,0,28,0,0,72,0
1772264080469,0,0,3665560,0,0,213,0,0,151,0
1772264081206,0,0,3666472,0,0,41,0,0,36,0
1772264081949,0,0,3664592,0,0,27,0,0,23,0
1772264082652,0,0,3641980,0,0,291,0,0,219,3453
1772264083303,0,0,3686544,0,0,84,0,0,46,14527
1772264083996,0,0,3651096,0,0,77,0,0,8,10229
1772264084771,0,0,3634008,0,0,116,0,0,32,0
1772264085508,0,0,3631860,0,0,11,0,0,11,0
1772264086224,0,0,3602788,0,0,5,0,0,0,0
1772264086949,0,0,3600372,0,0,15,0,0,14,0
1772264087673,0,0,3583864,0,0,3925,0,0,3849,0
1772264088405,0,0,3463732,0,0,1320,0,0,1183,0
