ts,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772272441412,852790,242234,4747324,1666267,1288883,185849,504260,4,178771,579669
1772272442223,2033,639,4692696,0,0,507,4115,0,343,0
1772272443007,109,55,4667680,0,0,1,24,0,9,0
1772272443821,6569,549,4645960,0,0,2636,19416,0,2769,0
1772272444572,4428,696,4406104,0,0,1796,35837,0,1352,0
1772272445305,424,8,4505772,0,0,178,165,0,125,0
1772272446015,40,0,4503032,0,0,91,760,0,83,0
1772272446762,2986,484,4498432,0,0,2092,5728,0,2675,0
1772272447473,3676,791,4501364,0,0,4279,4895,0,3663,0
1772272448244,10,0,4480248,0,0,6,6,0,5,0
1772272448982,17,0,4498540,0,0,7,8,0,7,0
1772272449700,29,0,4504980,0,0,22,18,0,26,0
1772272450426,97,0,4500888,0,0,370,369,0,365,0
1772272451148,161,2,4471404,0,0,261,870,0,208,0
1772272451881,0,0,4489916,0,0,0,2,0,0,0
1772272452614,0,0,4489124,0,0,0,0,0,1,0
1772272453337,4,0,4490752,0,0,1,1,0,0,0
1772272454068,3,0,4490512,0,0,3,3,0,43,0
1772272454857,125,0,4489264,0,0,75,833,0,19,0
1772272455648,16,0,4487304,0,0,2,1,0,1,0
1772272456446,4,0,4486076,0,0,1,1,0,2,0
1772272457263,132,0,4485396,0,0,7,87,0,3,0
1772272458100,0,0,4547436,0,0,0,0,0,0,0
1772272458842,43,0,4518548,0,0,17,17,0,103,0
1772272459626,1502,37,4286532,0,0,1517,2654,0,1344,0
1772272460453,14999,2178,4015824,0,0,3327,16355,0,3105,0
1772272461265,8159,1763,3680660,0,0,1121,8857,0,1078,0
1772272462039,18875,2634,3359924,0,0,1039,7150,0,944,0
1772272462822,576,73,3644684,0,0,189,468,0,52,0
1772272463682,1,0,3631796,0,0,1,2,0,29,0
1772272464606,96,0,3654288,0,0,30,33,0,3,0
1772272465349,250,156,3633316,0,0,9,9,0,8,0
1772272466164,527,382,3625820,0,0,46,48,0,3,0
1772272466990,0,0,3604924,0,0,0,0,0,0,0
1772272467845,12,0,3622756,0,0,1,1,0,1,0
1772272468708,146,0,3616424,0,0,9,9,0,9,0
1772272469600,20,0,3597612,0,0,1,1,0,1,0
1772272470483,839,620,3543656,0,0,123,165,0,99,0
1772272471372,1787,111,3544792,0,0,191,209,0,191,0
1772272472284,19,0,3535904,0,0,4,69,0,3,0
1772272473195,10,7,3556540,0,0,0,18,0,0,0
1772272474113,0,0,3543768,0,0,0,0,0,0,0
1772272475081,165,52,3524660,0,0,28,34,0,28,0
1772272475953,156,0,3567380,0,0,51,61,0,51,0
1772272476874,57,0,3637380,0,0,0,0,0,0,0
1772272477709,0,0,3635604,0,0,3,3,0,3,0
1772272478569,10,0,3614584,0,0,0,0,0,0,0
1772272479455,0,0,3636168,0,0,0,0,0,0,0
1772272480351,0,0,3636280,0,0,0,0,0,0,0
1772272481243,40,0,3623820,0,0,4,4,0,4,0
1772272482071,0,0,3617528,0,0,1,0,0,1,0
1772272482992,4,0,3638164,0,0,0,1,0,0,0
1772272483841,0,0,3611992,0,0,0,0,0,3,0
1772272484733,111,0,3634304,0,0,18,18,0,16,0
1772272485610,7,0,3633736,0,0,1,1,0,0,0
1772272486510,27,17,3624024,0,0,1,1,0,1,0
1772272487382,0,0,3606704,0,0,0,0,0,0,0
1772272488305,0,0,3616916,0,0,0,0,0,0,0
1772272489205,31,0,3636604,0,0,5,5,0,5,0
1772272490070,34,0,3613628,0,0,2,2,0,2,0
1772272490905,0,0,3633540,0,0,0,0,0,0,0
1772272491796,0,0,3636092,0,0,0,0,0,0,0
1772272492676,0,0,3638916,0,0,0,0,0,0,0
1772272493546,9,0,3608248,0,0,1,1,0,1,0
1772272494387,104,0,3630656,0,0,79,58,0,174,0
1772272495104,8197,7040,3460468,0,0,1067,669,0,170,0
1772272495897,615,36,3223488,0,0,1589,3100,0,955,0
1772272496629,2869,95,3157684,0,0,1414,1865,0,685,0
1772272497369,161,11,3151000,0,0,17,98,0,497,0
1772272498123,2924,1395,3201524,0,0,1202,7925,0,849,0
1772272498986,2044,329,3080416,0,0,345,739,0,537,812
1772272499809,17126,10811,3107392,0,0,655,2612,0,342,0
1772272500601,198,17,3091684,0,0,113,206,0,25,852
1772272501399,10170,8229,3030152,0,0,70,84,0,14,1179
1772272502228,7456,3322,3035272,0,0,2,2,0,1,0
1772272503044,15,0,3041476,0,0,4,5,0,5,0
1772272503861,4,0,3052772,0,0,13,34,0,0,0
1772272504668,799,192,3062360,0,0,183,164,0,143,8203
1772272505360,0,0,3087884,0,0,9,25,0,0,18095
1772272506131,39,29,3081996,0,0,62,171,0,13,14724
1772272506877,4404,2574,3025024,0,0,302,750,0,147,2815
1772272507685,3115,1815,3004908,0,0,8,137,0,6,436
1772272508490,2147,1088,3016636,0,0,118,532,0,88,322
1772272509293,2796,2019,3032868,0,0,180,2082,0,139,1022
1772272510119,46822,31896,2940388,917,431,407,4387,7,206,7486
1772272510968,41292,13768,2632724,0,0,299,2925,0,172,8
1772272511757,11917,2825,2601868,0,0,591,2481,0,757,2522
1772272512590,53748,21300,2818888,1386,1165,557,7809,11,258,17257
1772272513514,791,117,2807556,0,0,690,4982,0,592,0
1772272514137,131,10,2729244,0,0,202,1772,0,94,0
1772272514764,2701,966,2590648,0,0,102,598,0,8,715
1772272515375,9350,4479,2392744,0,0,23,19,0,10,4332
1772272516029,708,35,2681472,0,0,683,10819,0,819,0
1772272516710,1095,18,2658300,0,0,425,11427,0,221,0
1772272517473,0,0,2632116,0,0,1,286,0,0,0
1772272518236,15,0,2656568,0,0,34,1001,0,37,0
1772272518973,144,0,2625928,0,0,34,342,0,15,0
1772272519715,4,0,2648756,0,0,3,3,0,107,0
1772272520477,94,0,2641800,0,0,117,413,0,8,0
1772272521252,0,0,2618724,0,0,0,0,0,0,0
1772272522057,2,0,2645048,0,0,4,3,0,3,0
1772272522837,4,0,2608392,0,0,3,27,0,0,0
1772272523643,8,0,2628288,0,0,13,13,0,22,0
1772272524435,25,0,2677192,0,0,5,9,0,0,0
1772272525219,0,0,2684620,0,0,0,0,0,0,0
1772272525998,0,0,2654428,0,0,1,1,0,1,0
1772272526862,16,0,2668728,0,0,1,1,0,1,0
1772272527794,0,0,2670136,0,0,0,0,0,0,0
1772272528712,0,0,2640212,0,0,0,0,0,0,0
1772272529607,0,0,2647212,0,0,0,0,0,0,0
1772272530513,0,0,2647144,0,0,0,0,0,5,0
1772272531400,24,0,2663608,0,0,5,5,0,0,0
1772272532335,0,0,2635884,0,0,0,0,0,1,0
1772272533227,4,0,2643576,0,0,1,3,0,2,0
1772272534114,3,0,2665436,0,0,2,0,0,1,0
1772272535018,5,0,2593056,0,0,73,504,0,1160,0
1772272535814,24454,5674,2547792,0,0,1772,2870,0,615,4536
1772272536617,51915,14667,2420320,0,0,141,629,0,120,5865
1772272537469,40970,12515,2312972,428,398,42,1811,4,41,7238
1772272538285,64921,18771,2253348,212,186,61,2618,2,13,6980
1772272539032,9150,1751,2211544,0,0,15,743,0,10,327
1772272539973,1725,1460,2211068,0,0,1,11,0,3,0
1772272540940,407,0,2207572,0,0,4,315,0,0,74
1772272541906,2617,2307,2204724,0,0,158,506,0,154,1625
1772272542837,9390,6480,2210220,0,0,14,584,0,3,74
1772272543794,3798,877,2211412,0,0,77,8545,0,24,3937
1772272544570,25198,14512,2232388,0,0,339,12164,0,44,1957
1772272545305,81,6,2261332,0,0,146,1536,0,14,16941
1772272546164,8,0,2259016,0,0,16,3,0,0,1801
1772272547099,26,0,2259624,0,0,10,34,0,8,0
1772272548093,0,0,2259900,0,0,0,0,0,1,0
1772272549016,4,0,2259048,0,0,4,2,0,1,0
1772272549936,5,0,2235352,0,0,0,0,0,0,0
1772272550919,71,0,2260040,0,0,20,17,0,18,0
1772272551863,15,0,2260768,0,0,3,1,0,0,0
1772272552849,95,0,2240396,0,0,18,18,0,19,0
1772272553776,4,0,2226052,0,0,1,1,0,0,0
1772272554708,0,0,2254736,0,0,40,0,0,0,0
1772272555648,19,0,2270240,0,0,64,26,0,60,0
1772272556560,111,0,2279608,0,0,10,43,0,7,0
1772272557449,0,0,2276288,0,0,12,6,0,1,0
1772272558413,816,0,2277436,0,0,199,396,0,193,0
1772272559318,638,0,2274964,0,0,76,120,0,66,0
1772272560278,0,0,2215808,0,0,14,47,0,89,0
1772272561161,344,0,2106156,0,0,516,144,0,118,0
1772272561924,71,0,1936720,0,0,431,276,0,236,1726
1772272562677,13944,6841,1903816,0,0,98,51,0,37,206
1772272563416,109472,22002,1733732,20514,14068,1983,11243,223,1534,10337
1772272564221,71279,24171,2018628,0,0,9445,11319,0,10190,11949
1772272565026,8115,840,1968764,0,0,1536,1511,0,136,0
1772272565885,2724,1395,1981616,0,0,56,673,0,31,0
1772272566795,810,4,1959532,0,0,306,310,0,333,1741
1772272567636,3765,3049,1977432,0,0,543,2028,0,485,0
1772272568554,3807,1048,1971944,0,0,20,92,0,1,0
1772272569486,18,0,1968316,0,0,13,411,0,6,1112
1772272570277,704,163,1976732,0,0,15,11,0,12,9613
1772272571108,7,0,2032516,0,0,1,13,0,0,16387
1772272571952,56,0,1974992,0,0,19,26,0,19,6308
1772272572766,15220,7731,1942452,0,0,22,235,0,19,6887
1772272573611,12186,10652,1974500,0,0,0,0,0,0,0
1772272574458,0,0,1989368,0,0,213,0,0,0,0
1772272575315,94,0,1984232,0,0,121,12,0,12,0
1772272576202,19,0,1967148,0,0,2,2,0,2,0
1772272577090,0,0,1973148,0,0,1,0,0,1,0
1772272577966,18,0,1990516,0,0,5,4,0,4,0
1772272578849,6,0,1998148,0,0,3,1,0,0,0
1772272579731,44,0,1996916,0,0,14,14,0,14,0
1772272580666,8,0,2006688,0,0,4,4,0,4,0
1772272581569,17,0,2006356,0,0,9,9,0,19,0
1772272582459,57,0,1988632,0,0,10,10,0,0,0
1772272583403,10,0,2006048,0,0,1,1,0,1,0
1772272584313,583,9,2004244,0,0,1225,1222,0,1224,0
