ts,phase,some_delta,full_delta,mem_available,pgscan_direct,pgsteal_direct,pgmajfault,workingset_refault,allocstall,pswpin,pswpout
1772283575770,idle,5757707,1466496,3986832,2890445,1776059,708884,1554259,3342,675676,1730424
1772283576619,idle,108,0,3925240,0,0,383,144,0,75,0
1772283577468,idle,20,0,3923728,0,0,21,12,0,6,0
1772283578319,cold_start,567,25,3869840,0,0,242,256,0,115,0
1772283579112,cold_start,1773,572,3720076,0,0,343,1025,0,63,177
1772283579873,cold_start,10933,3459,3642868,0,0,121,41,0,15,279
1772283580591,cold_start,12848,4657,3576884,0,0,77,309,0,69,675
1772283581309,cold_start,26485,8268,3544192,0,0,653,1707,0,476,1080
1772283582187,cold_start,503,1,3566472,0,0,19,210,0,9,0
1772283583041,cold_start,13,0,3499368,0,0,35,942,0,11,0
1772283583918,cold_start,47,0,3546296,0,0,19,102,0,44,0
1772283584698,cold_start,79,0,3520684,0,0,100,847,0,116,0
1772283585590,cold_start,156,18,3487708,0,0,27,190,0,1,0
1772283586544,cold_start,34,0,3492696,0,0,13,7,0,13,0
1772283587450,cold_start,78,0,3513704,0,0,21,214,0,31,0
1772283588291,cold_start,65,0,3524528,0,0,28,56,0,8,0
1772283589178,cold_start,0,0,3489000,0,0,0,0,0,1,555
1772283589995,cold_start,3263,1252,3413364,0,0,11,310,0,0,695
1772283590886,cold_start,23249,11324,3298720,0,0,362,12761,0,192,2538
1772283591733,cold_start,28968,9074,3051204,0,0,644,2953,0,322,1056
1772283592552,cold_start,34861,9806,2859156,746,1183,1305,7548,17,1761,3363
1772283593335,cold_start,37653,5985,2722768,1317,323,2151,8847,0,1425,1059
1772283594168,cold_start,9549,3062,2916948,0,0,48,167,0,8,0
1772283595020,cold_start,151,6,2919468,0,0,60,2686,0,36,0
1772283595880,cold_start,0,0,2934420,0,0,4,2,0,2,0
1772283596763,cold_start,4,0,2916292,0,0,0,0,0,0,0
1772283597674,cold_start,16,0,2979352,0,0,19,168,0,14,0
1772283598482,cold_start,32,0,2963244,0,0,23,58,0,10,0
1772283599333,cold_start,82,0,2970856,0,0,64,97,0,33,0
1772283600175,cold_start,0,0,2995096,0,0,0,29,0,0,0
1772283601021,cold_start,33,0,2997844,0,0,12,12,0,28,7422
1772283601822,cold_start,14,0,3063240,0,0,18,2,0,0,25741
1772283602589,cold_start,37,0,3059592,0,0,29,344,0,44,12760
1772283603400,cold_start,196,0,2990596,0,0,390,3254,0,162,0
1772283604203,cold_start,26018,7848,2687252,0,0,330,11212,0,219,0
1772283604988,cold_start,48536,15051,2563836,228,194,351,8535,2,217,9371
1772283605758,cold_start,17384,2925,2376888,0,0,269,4286,0,184,0
1772283606510,cold_start,26627,6571,2345472,0,0,1156,7245,0,981,449
1772283607319,cold_start,11705,2908,2385936,0,0,111,1327,0,86,138
1772283608072,cold_start,5401,1992,2370872,0,0,34,2335,0,6,338
1772283608861,cold_start,740,1,2383736,0,0,1339,3238,0,1318,0
1772283609678,cold_start,151,0,2360764,0,0,87,2287,0,67,0
1772283610496,cold_start,52,0,2360212,0,0,411,898,0,461,0
1772283611251,cold_start,12341,6834,2338620,0,0,428,12641,0,311,7064
1772283611981,cold_start,12199,8556,2317488,0,0,25,178,0,24,0
1772283612637,cold_start,47,4,2332800,0,0,8,33,0,16,0
1772283613467,cold_start,11,0,2343808,0,0,4,445,0,1,0
1772283614317,cold_start,23,0,2337184,0,0,9,71,0,9,0
1772283615125,cold_start,99,0,2294292,0,0,194,2182,11,153,300
1772283615917,cold_start,79871,23235,2333556,10130,7716,421,4730,102,136,12597
1772283616822,cold_start,11777,4118,2412292,0,0,274,3242,0,156,0
1772283617552,cold_start,62320,27945,2252308,858,556,850,11709,58,760,23883
1772283618386,cold_start,79896,28196,2404392,4866,3390,481,21665,0,164,12099
1772283619159,cold_start,2277,1421,2448088,0,0,122,2971,0,61,0
1772283619940,cold_start,863,331,2433596,0,0,167,1741,0,156,0
1772283620693,cold_start,1229,478,2417028,0,0,199,1863,0,173,0
1772283621422,cold_start,417,319,2394936,0,0,25,174,0,25,0
1772283622178,cold_start,25,0,2412980,0,0,12,532,0,11,0
1772283622905,cold_start,6,0,2413092,0,0,8,275,0,27,0
1772283623654,cold_start,206,140,2431824,0,0,26,84,0,2,0
1772283624374,cold_start,10,4,2430096,0,0,4,4,0,4,0
1772283625138,cold_start,1477,677,2465700,0,0,27,1109,0,19,13274
1772283625846,cold_start,98,4,2466108,0,0,23,280,0,22,2543
1772283626673,cold_start,310,37,2481316,0,0,4,1006,0,0,0
1772283627467,cold_start,111,11,2429212,0,0,157,713,0,117,1959
1772283628276,cold_start,51087,28021,2357588,1418,1016,490,1029,14,59,8239
1772283629097,cold_start,34864,19282,2220084,0,0,552,6796,0,353,14717
1772283629936,cold_start,104209,39614,2119628,5345,5235,348,24240,78,178,32609
1772283630803,cold_start,152344,43392,2022812,3063,3040,690,10632,52,481,29728
1772283631907,cold_start,178600,50038,2002528,23643,4360,1180,22377,102,738,32327
1772283632731,cold_start,264414,50723,2038600,14163,7786,1008,39181,91,660,29089
1772283633567,cold_start,25771,12425,2248784,0,0,2264,8483,0,1774,0
1772283634347,cold_start,683,17,2281228,0,0,290,256,0,93,0
1772283635120,cold_start,961,73,2229100,0,0,529,667,0,310,0
1772283636022,cold_start,867,27,2093648,0,0,948,816,0,769,0
1772283636831,cold_start,963,3,1811968,0,0,781,670,6,570,2461
1772283637650,cold_start,37393,13240,1730212,598,519,67,198,0,45,4658
1772283638514,cold_start,116471,36990,1859376,10658,7392,2601,3687,129,3021,25055
1772283639332,cold_start,12272,19,2240504,0,0,686,1581,0,104,8459
1772283640131,cold_start,17578,951,2180568,0,0,827,8283,0,440,10151
1772283640960,cold_start,33284,24810,2244000,0,0,829,3683,0,437,14983
1772283641576,cold_start,14119,8634,2248524,0,0,74,352,0,26,6760
1772283642208,cold_start,23645,12404,2369840,0,0,348,2525,0,271,7038
1772283642875,cold_start,757,158,2363440,0,0,100,1745,0,80,48
1772283643568,cold_start,32242,17627,2358704,0,0,450,2454,0,289,6399
1772283644273,cold_start,27,0,2353812,0,0,18,627,0,5,0
1772283645095,cold_start,1587,1028,2318620,0,0,68,201,0,46,0
1772283645967,cold_start,139,99,2343100,0,0,4,17,0,4,0
1772283646882,cold_start,48,0,2348460,0,0,24,122,0,32,0
1772283647699,cold_start,667,107,2319256,0,0,33,39,0,21,0
1772283648672,cold_start,54,0,2336380,0,0,17,428,0,8,0
1772283649654,cold_start,1374,123,2368732,0,0,362,1033,0,353,0
1772283650426,cold_start,2324,625,2365200,0,0,21,115,0,18,0
1772283651318,cold_start,352,47,2363556,0,0,19,81,0,14,0
1772283652281,cold_start,140793,40531,2313704,813,632,15399,33440,9,15345,21393
1772283653125,cold_start,60704,16551,2240648,0,0,690,3988,11,269,18336
1772283653953,cold_start,74496,30894,2079228,878,857,2367,7351,0,2183,31389
1772283654717,cold_start,51732,30236,2099880,0,0,275,2551,0,132,23153
1772283655495,cold_start,23280,11483,1962564,0,0,657,1027,0,653,1895
1772283656358,cold_start,1799,587,1980552,0,0,16,72,0,19,0
1772283657265,cold_start,2798,2004,1979656,0,0,4,4,0,2,0
1772283658080,cold_start,5032,2684,1973324,0,0,125,118,0,120,0
1772283658936,cold_start,32832,14992,1885028,0,0,674,1391,0,677,10861
1772283659718,cold_start,133777,27547,1720160,10134,9254,1320,4995,200,2066,33012
1772283660593,cold_start,100574,39827,2173424,3464,3276,1815,9254,3,715,8001
1772283661370,cold_start,962,35,1892544,0,0,148,1598,0,161,0
1772283662128,cold_start,1493,31,2128712,0,0,157,1111,0,73,16880
1772283662906,cold_start,2373,257,2164440,0,0,319,1365,0,295,0
1772283663714,cold_start,375,0,2136824,0,0,61,343,0,70,0
1772283664585,cold_start,624,6,2066716,0,0,273,2276,0,189,0
1772283665442,cold_start,47622,16461,1873608,4020,2037,585,5132,40,173,15013
1772283666325,cold_start,105339,52524,1849568,0,0,1655,13434,0,1511,24909
1772283667127,cold_start,43529,28283,1724420,480,455,219,821,13,87,20045
1772283667984,cold_start,89691,42153,2047628,5340,4939,2377,8698,75,2192,21820
1772283668816,cold_start,2803,641,1732456,0,0,286,8235,0,174,1940
1772283669597,cold_start,26608,12890,1691256,0,0,239,4409,0,656,10585
1772283670456,cold_start,18129,9872,1692568,0,0,555,2156,0,81,2287
1772283671236,cold_start,3387,992,1837568,0,0,154,666,0,124,0
1772283672029,cold_start,2839,246,1807504,0,0,1354,3663,0,1318,0
1772283672833,cold_start,247,0,1821408,0,0,36,2693,0,20,36
1772283673608,cold_start,10475,4092,1898284,0,0,110,3337,0,81,0
1772283674397,cold_start,7,0,1891188,0,0,1,222,0,27,3730
1772283675146,cold_start,29,0,1939772,0,0,38,257,0,4,11475
1772283676015,cold_start,568,85,1953984,0,0,125,1575,0,103,0
1772283676851,cold_start,55,0,1896284,0,0,96,431,0,139,0
1772283677600,cold_start,49486,28506,1731196,1011,730,483,3298,199,296,15123
1772283678394,cold_start,65193,11592,1696720,10833,10066,590,11935,12,253,12831
1772283679293,cold_start,67824,26478,1653232,664,662,283,4474,98,296,24645
1772283680099,cold_start,39460,11537,1593880,4404,4244,232,2078,0,63,7651
1772283680847,cold_start,17503,13527,1939556,0,0,1467,7108,0,1364,0
1772283681596,cold_start,2,0,1983452,0,0,10,1192,0,11,0
1772283682453,cold_start,649,294,1935348,0,0,37,336,0,14,0
1772283683371,cold_start,68,41,1954724,0,0,12,215,0,0,0
1772283684272,cold_start,379,177,1994084,0,0,15,626,0,13,0
1772283685243,cold_start,4,0,1987932,0,0,6,61,0,34,0
1772283686143,cold_start,1415,787,1990716,0,0,109,1385,0,62,595
1772283686907,cold_start,21,0,2020260,0,0,3,128,0,2,19402
1772283687657,cold_start,940,516,2079364,0,0,161,731,0,155,16394
1772283688481,cold_start,39,0,2078176,0,0,10,8,0,10,0
